hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days
Mahannah - PW Hunt 1,Deer Primitive Weapon,Mahannah,2025-11-06,2025-11-07,20,2
Mahannah - PW Hunt 2,Deer Primitive Weapon,Mahannah,2025-11-09,2025-11-10,20,2
Mahannah - PW Hunt 3,Deer Primitive Weapon,Mahannah,2025-11-13,2025-11-14,20,2
Mahannah - PW Hunt 4,Deer Primitive Weapon,Mahannah,2025-11-16,2025-11-17,20,2
Mahannah - PW Hunt 5,Deer Primitive Weapon,Mahannah,2025-11-20,2025-11-21,20,2
Mahannah - PW Hunt 6,Deer Primitive Weapon,Mahannah,2025-11-23,2025-11-24,20,2
Mahannah - PW Hunt 7,Deer Primitive Weapon,Mahannah,2025-11-27,2025-11-28,20,2
Phil Bryant (Buck Bayou Unit) - PW Hunt 1,Deer Primitive Weapon,Phil Bryant (Buck Bayou Unit),2025-11-06,2025-11-07,12,2
Phil Bryant (Buck Bayou Unit) - PW Hunt 2,Deer Primitive Weapon,Phil Bryant (Buck Bayou Unit),2025-11-09,2025-11-10,12,2
Phil Bryant (Buck Bayou Unit) - PW Hunt 3,Deer Primitive Weapon,Phil Bryant (Buck Bayou Unit),2025-11-13,2025-11-14,12,2
Phil Bryant (Buck Bayou Unit) - PW Hunt 4,Deer Primitive Weapon,Phil Bryant (Buck Bayou Unit),2025-11-16,2025-11-17,12,2
Phil Bryant (Buck Bayou Unit) - PW Hunt 5,Deer Primitive Weapon,Phil Bryant (Buck Bayou Unit),2025-11-20,2025-11-21,12,2
Phil Bryant (Buck Bayou Unit) - PW Hunt 6,Deer Primitive Weapon,Phil Bryant (Buck Bayou Unit),2025-11-23,2025-11-24,12,2
Phil Bryant (Buck Bayou Unit) - PW Hunt 7,Deer Primitive Weapon,Phil Bryant (Buck Bayou Unit),2025-11-27,2025-11-28,12,2
Riverfront - PW Hunt 1,Deer Primitive Weapon,Riverfront,2025-12-05,2025-12-07,4,3
Riverfront - PW Hunt 2,Deer Primitive Weapon,Riverfront,2025-12-12,2025-12-14,4,3
Riverfront - PW Hunt 3,Deer Primitive Weapon,Riverfront,2025-12-19,2025-12-21,4,3
Riverfront - PW Hunt 4,Deer Primitive Weapon,Riverfront,2025-12-26,2025-12-28,4,3
Sky Lake - PW Hunt 1,Deer Primitive Weapon,Sky Lake,2025-11-13,2025-11-15,15,3
Sky Lake - PW Hunt 2,Deer Primitive Weapon,Sky Lake,2025-11-20,2025-11-22,15,3
Sky Lake - PW Hunt 3,Deer Primitive Weapon,Sky Lake,2025-11-27,2025-11-29,15,3
Sky Lake - PW Hunt 4,Deer Primitive Weapon,Sky Lake,2025-12-04,2025-12-06,15,3
Sky Lake - PW Hunt 5,Deer Primitive Weapon,Sky Lake,2025-12-11,2025-12-13,15,3
Sky Lake - PW Hunt 6,Deer Primitive Weapon,Sky Lake,2025-12-18,2025-12-20,15,3
Sky Lake - PW Hunt 7,Deer Primitive Weapon,Sky Lake,2025-12-25,2025-12-27,15,3
Sky Lake - PW Hunt 8,Deer Primitive Weapon,Sky Lake,2026-01-01,2026-01-03,15,3
Sky Lake - PW Hunt 9,Deer Primitive Weapon,Sky Lake,2026-01-08,2026-01-10,15,3
Sky Lake - PW Hunt 10,Deer Primitive Weapon,Sky Lake,2026-01-15,2026-01-17,15,3
Sky Lake - PW Hunt 11,Deer Primitive Weapon,Sky Lake,2026-01-22,2026-01-24,15,3
Twin Oaks - PW Hunt 1,Deer Primitive Weapon,Twin Oaks,2025-11-06,2025-11-07,15,2
Twin Oaks - PW Hunt 2,Deer Primitive Weapon,Twin Oaks,2025-11-09,2025-11-10,15,2
Twin Oaks - PW Hunt 3,Deer Primitive Weapon,Twin Oaks,2025-11-13,2025-11-14,15,2
Twin Oaks - PW Hunt 4,Deer Primitive Weapon,Twin Oaks,2025-11-16,2025-11-17,15,2
Twin Oaks - PW Hunt 5,Deer Primitive Weapon,Twin Oaks,2025-11-20,2025-11-21,15,2
Twin Oaks - PW Hunt 6,Deer Primitive Weapon,Twin Oaks,2025-11-23,2025-11-24,15,2
Twin Oaks - PW Hunt 7,Deer Primitive Weapon,Twin Oaks,2025-11-27,2025-11-28,15,2
Twin Oaks - PW Hunt 8,Deer Primitive Weapon,Twin Oaks,2025-11-30,2025-12-01,15,2
Twin Oaks - PW Hunt 9,Deer Primitive Weapon,Twin Oaks,2025-12-04,2025-12-05,15,2
Twin Oaks - PW Hunt 10,Deer Primitive Weapon,Twin Oaks,2025-12-07,2025-12-08,15,2
Twin Oaks - PW Hunt 11,Deer Primitive Weapon,Twin Oaks,2025-12-11,2025-12-12,15,2
Twin Oaks - PW Hunt 12,Deer Primitive Weapon,Twin Oaks,2025-12-14,2025-12-15,15,2
Twin Oaks - PW Hunt 13,Deer Primitive Weapon,Twin Oaks,2025-12-18,2025-12-19,15,2
Twin Oaks - PW Hunt 14,Deer Primitive Weapon,Twin Oaks,2025-12-21,2025-12-22,15,2
Twin Oaks - PW Hunt 15,Deer Primitive Weapon,Twin Oaks,2025-12-25,2025-12-26,15,2
Twin Oaks - PW Hunt 16,Deer Primitive Weapon,Twin Oaks,2025-12-28,2025-12-29,15,2